[2020-02-08 20:38] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:38] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:38] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:40] [Weapon Hacks] Teste_Teste (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:40] [Weapon Hacks] Teste_Teste (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:41] [Weapon Hacks] Teste_Teste (5 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:43] [Weapon Hacks] Teste_Teste (6 times) - Colt 45 (90 ammo, expected 0)
[2020-02-08 20:43] [Weapon Hacks] Teste_Teste (7 times) - Colt 45 (86 ammo, expected 0)
[2020-02-08 20:44] [Weapon Hacks] Teste_Teste (8 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:44] [Weapon Hacks] Teste_Teste (9 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:44] [Weapon Hacks] Teste_Teste (10 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:45] [Weapon Hacks] Teste_Teste (11 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:46] [Weapon Hacks] Konaly_Brabo (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:46] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:46] [Weapon Hacks] Teste_Teste (12 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:47] [Weapon Hacks] Teste_Teste (13 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:48] [Weapon Hacks] Teste_Teste (14 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:50] [Weapon Hacks] Konaly_Brabo (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:51] [Weapon Hacks] Teste_Teste (15 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:51] [Weapon Hacks] Teste_Teste (16 times) - AK-47 (88 ammo, expected 0)
[2020-02-08 20:52] [Weapon Hacks] Teste_Teste (17 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:53] [Weapon Hacks] Teste_Teste (18 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:53] [Weapon Hacks] Teste_Teste (19 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:53] [Weapon Hacks] Konaly_Brabo (5 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:54] [Weapon Hacks] Konaly_Brabo (6 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:54] [Weapon Hacks] Teste_Teste (20 times) - AK-47 (86 ammo, expected 0)
[2020-02-08 20:54] [Weapon Hacks] Teste_Teste (21 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:55] [Weapon Hacks] Teste_Teste (22 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:56] [Weapon Hacks] Teste_Teste (23 times) - AK-47 (71 ammo, expected 0)
[2020-02-08 20:56] [Weapon Hacks] Teste_Teste (24 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:56] [Weapon Hacks] Teste_Teste (25 times) - AK-47 (65 ammo, expected 0)
[2020-02-08 20:57] [Weapon Hacks] Teste_Teste (26 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 20:57] [Weapon Hacks] Konaly_Brabo (7 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:00] [Weapon Hacks] Konaly_Brabo (8 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:00] [Weapon Hacks] Teste_Teste (27 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:01] [Weapon Hacks] Teste_Teste (28 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:01] [Weapon Hacks] Teste_Teste (29 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:02] [Weapon Hacks] Teste_Teste (30 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:02] [Weapon Hacks] Teste_Teste (31 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:03] [Weapon Hacks] Teste_Teste (32 times) - AK-47 (85 ammo, expected 0)
[2020-02-08 21:05] [Weapon Hacks] Teste_Teste (33 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:05] [Weapon Hacks] Teste_Teste (34 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:07] [Weapon Hacks] Teste_Teste (35 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:07] [Weapon Hacks] Teste_Teste (36 times) - AK-47 (180 ammo, expected 0)
[2020-02-08 21:13] [Weapon Hacks] Teste_Teste (37 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:17] [Weapon Hacks] Teste_Teste (38 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:17] [Weapon Hacks] Teste_Teste (39 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:19] [Weapon Hacks] Teste_Teste (40 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:22] [Weapon Hacks] Teste_Teste (41 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:23] [Weapon Hacks] Teste_Teste (42 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:23] [Weapon Hacks] Teste_Teste (43 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:28] [Weapon Hacks] Teste_Teste (44 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:28] [Weapon Hacks] Teste_Teste (45 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:33] [Weapon Hacks] Teste_Teste (46 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:33] [Weapon Hacks] Teste_Teste (47 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:38] [Weapon Hacks] Teste_Teste (48 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:39] [Weapon Hacks] Teste_Teste (49 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:40] [Weapon Hacks] Teste_Teste (50 times) - AK-47 (88 ammo, expected 0)
[2020-02-08 21:40] [Weapon Hacks] Teste_Teste (51 times) - AK-47 (81 ammo, expected 0)
[2020-02-08 21:43] [Weapon Hacks] Teste_Teste (52 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:45] [Weapon Hacks] Teste_Teste (53 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:50] [Weapon Hacks] Teste_Teste (54 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:53] [Weapon Hacks] Teste_Teste (55 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 21:58] [Weapon Hacks] Teste_Teste (56 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:00] [Weapon Hacks] Teste_Teste (57 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:02] [Weapon Hacks] Teste_Teste (58 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:03] [Weapon Hacks] Teste_Teste (59 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:04] [Weapon Hacks] Teste_Teste (60 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:05] [Weapon Hacks] Teste_Teste (61 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:05] [Weapon Hacks] Teste_Teste (62 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:09] [Weapon Hacks] Teste_Teste (63 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:18] [Weapon Hacks] Teste_Teste (64 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:23] [Weapon Hacks] Teste_Teste (65 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:24] [Weapon Hacks] Teste_Teste (66 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:42] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:46] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-08 22:46] [Weapon Hacks] Teste_Teste (3 times) - AK-47 (180 ammo, expected 0)
[2020-02-08 22:47] [Weapon Hacks] Teste_Teste (4 times) - AK-47 (90 ammo, expected 0)
